zaman,yukseklik,ivme
31.70,3534.9,-3.2469
31.75,3530.5,-2.9984
31.80,3525.5,-2.7509
31.85,3520.0,-2.4978
31.90,3513.7,-2.228
31.95,3506.4,-1.9593
32.00,3497.8,-1.6811
32.05,3487.2,-1.3983
32.10,3473.8,-1.1054
32.15,3458.4,-0.80059
32.20,3442.8,-0.55811
32.25,3427.1,-0.37315
32.30,3411.3,-0.24266
32.35,3395.5,-0.14883
32.40,3379.7,-0.088352
32.45,3363.8,-0.049301
32.50,3347.9,-0.017907
32.55,3332.1,0.0037134
32.60,3316.2,0.017837
32.65,3300.3,0.031944
32.70,3284.5,0.037717
32.75,3268.6,0.040784
32.80,3252.8,0.044285
32.85,3237.0,0.048009
32.90,3221.2,0.048377
32.95,3205.4,0.052804
33.00,3189.6,0.050608
33.05,3173.8,0.053603
33.10,3158.0,0.049593
33.15,3142.3,0.050611
33.20,3126.6,0.051493
33.25,3110.8,0.060366
33.30,3095.1,0.047911
33.35,3079.4,0.048426
33.40,3063.7,0.05014
33.45,3048.1,0.049566
33.50,3032.4,0.050367
33.55,3016.8,0.049042
33.60,3001.1,0.05122
33.65,2985.5,0.052925
33.70,2969.9,0.057691
33.75,2954.3,0.049572
33.80,2938.7,0.049892
33.85,2923.2,0.053739
33.90,2907.6,0.052072
33.95,2892.1,0.049884
34.00,2876.5,0.050534
34.05,2861.0,0.050655
34.10,2845.5,0.050727
34.15,2830.0,0.052644
34.20,2814.5,0.050738
34.25,2799.1,0.05337
34.30,2783.6,0.05166
34.35,2768.2,0.049135
34.40,2752.8,0.048688
34.45,2737.3,0.049552
34.50,2721.9,0.049853
34.55,2706.6,0.052739
34.60,2691.2,0.054294
34.65,2675.8,0.046336
34.70,2660.5,0.047152
34.75,2645.1,0.046909
34.80,2629.8,0.048092
34.85,2614.5,0.049535
34.90,2599.2,0.048103
34.95,2583.9,0.061089
35.00,2568.6,0.042615
35.05,2553.3,0.044045
35.10,2538.1,0.048766
35.15,2522.8,0.044641
35.20,2507.6,0.047024
35.25,2492.4,0.04698
35.30,2477.2,0.047587
35.35,2462.0,0.04818
35.40,2446.8,0.049288
35.45,2431.6,0.051158
35.50,2416.5,0.047654
35.55,2401.3,0.049137
35.60,2386.2,0.047043
35.65,2371.1,0.048096
35.70,2355.9,0.048334
35.75,2340.8,0.049379
35.80,2325.8,0.04802
35.85,2310.7,0.047124
35.90,2295.6,0.046306
35.95,2280.6,0.053119
36.00,2265.5,0.045908
36.05,2250.5,0.04827
36.10,2235.5,0.044121
36.15,2220.5,0.044859
36.20,2205.5,0.046127
36.25,2190.5,0.047921
36.30,2175.5,0.045956
36.35,2160.6,0.047031
36.40,2145.6,0.044985
36.45,2130.7,0.045801
36.50,2115.8,0.050367
36.55,2100.9,0.041989
36.60,2086.0,0.045689
36.65,2071.1,0.04256
36.70,2056.2,0.043441
36.75,2041.3,0.057878
36.80,2026.5,0.04881
36.85,2011.6,0.039548
36.90,1996.8,0.04151
36.95,1982.0,0.041317
37.00,1967.2,0.043738
37.05,1952.4,0.044101
37.10,1937.6,0.045517
37.15,1922.8,0.049817
37.20,1908.1,0.043183
37.25,1893.3,0.043773
37.30,1878.6,0.044656
37.35,1863.8,0.047891
37.40,1849.1,0.044795
37.45,1834.4,0.045685
37.50,1819.7,0.043866
37.55,1805.0,0.048602
37.60,1790.3,0.046642
37.65,1775.7,0.040767
37.70,1761.0,0.045922
37.75,1746.4,0.052663
37.80,1731.8,0.039566
37.85,1717.1,0.039424
37.90,1702.5,0.041419
37.95,1687.9,0.041361
38.00,1673.3,0.043056
38.05,1658.8,0.043079
38.10,1644.2,0.041543
38.15,1629.6,0.041943
38.20,1615.1,0.043165
38.25,1600.6,0.044105
38.30,1586.0,0.041888
38.35,1571.5,0.042632
38.40,1557.0,0.041222
38.45,1542.5,0.040537
38.50,1528.1,0.040834
38.55,1513.6,0.041123
38.60,1499.1,0.042352
38.65,1484.7,0.060383
38.70,1470.2,0.03668
38.75,1455.8,0.051132
38.80,1441.4,0.036951
38.85,1427.0,0.046683
38.90,1412.6,0.040891
38.95,1398.2,0.037496
39.00,1383.9,0.04512
39.05,1369.5,0.038269
39.10,1355.1,0.041408
39.15,1340.8,0.042435
39.20,1326.5,0.040132
39.25,1312.1,0.04395
39.30,1297.8,0.042879
39.35,1283.5,0.040413
39.40,1269.2,0.042096
39.45,1255.0,0.039668
39.50,1240.7,0.040807
39.55,1226.4,0.042113
39.60,1212.2,0.038824
39.65,1198.0,0.043609
39.70,1183.7,0.04125
39.75,1169.5,0.038159
39.80,1155.3,0.040368
39.85,1141.1,0.039464
39.90,1126.9,0.039131
39.95,1112.7,0.039692
40.00,1098.6,0.039472
40.05,1084.4,0.040743
40.10,1070.3,0.040249
40.15,1056.1,0.043421
40.20,1042.0,0.036443
40.25,1027.9,0.037216
40.30,1013.8,0.039982
40.35,999.67,0.046448
40.40,985.59,0.056911
40.45,971.52,0.046542
40.50,957.46,0.032854
40.55,943.4,0.035069
40.60,929.36,0.042481
40.65,915.32,0.032508
40.70,901.3,0.04554
40.75,887.28,0.037828
40.80,873.28,0.035466
40.85,859.28,0.036329
40.90,845.3,0.036344
40.95,831.32,0.037494
41.00,817.35,0.038197
41.05,803.39,0.03879
41.10,789.44,0.045831
41.15,775.51,0.047426
41.20,761.58,0.038594
41.25,747.66,0.03555
41.30,733.76,0.033901
